iter	Passed	Remaining
0	0	695
1	1	650
2	1	653
3	2	651
4	3	636
5	3	630
6	4	616
7	5	622
8	5	621
9	6	629
10	6	623
11	7	623
12	8	626
13	8	619
14	9	612
15	9	609
16	10	605
17	11	602
18	11	600
19	12	595
20	12	593
21	13	591
22	13	588
23	14	584
24	14	583
25	15	579
26	16	578
27	16	575
28	17	574
29	17	573
30	18	572
31	18	571
32	19	570
33	20	570
34	20	569
35	21	568
36	21	567
37	22	568
38	23	567
39	23	565
40	24	563
41	24	562
42	25	561
43	25	560
44	26	559
45	26	558
46	27	557
47	28	556
48	28	555
49	29	554
50	29	553
51	30	552
52	30	551
53	31	550
54	31	549
55	32	548
56	33	547
57	33	546
58	34	546
59	34	546
60	35	546
61	36	546
62	36	546
63	37	545
64	37	545
65	38	544
66	39	543
67	39	542
68	40	541
69	40	540
70	41	539
71	41	538
72	42	538
73	43	538
74	43	537
75	44	536
76	44	536
77	45	535
78	45	534
79	46	533
80	46	532
81	47	531
82	47	527
83	48	527
84	48	527
85	49	526
86	50	526
87	50	526
88	51	526
89	51	525
90	52	524
91	53	524
92	53	523
93	54	522
94	54	522
95	55	521
96	55	520
97	56	519
98	57	519
99	57	517
100	58	517
101	58	516
102	59	515
103	59	514
104	60	514
105	60	513
106	61	512
107	61	511
108	62	510
109	63	510
110	63	509
111	64	509
112	64	508
113	65	508
114	66	508
115	66	507
116	67	506
117	67	506
118	68	506
119	68	505
120	69	504
121	69	503
122	70	502
123	70	501
124	71	500
125	72	499
126	72	498
127	73	497
128	73	496
129	74	496
130	74	495
131	75	494
132	75	494
133	76	493
134	76	492
135	77	492
136	78	491
137	78	490
138	79	490
139	79	489
140	80	489
141	80	488
142	81	487
143	81	487
144	82	486
145	83	485
146	83	484
147	84	483
148	84	482
149	85	482
150	85	481
151	86	480
152	86	479
153	87	478
154	87	477
155	88	476
156	88	475
157	89	475
158	89	474
159	90	474
160	90	472
161	91	472
162	91	471
163	92	470
164	92	469
165	93	468
166	93	467
167	94	467
168	94	466
169	95	466
170	96	466
171	96	466
172	97	465
173	98	465
174	98	464
175	99	464
176	99	463
177	100	463
178	100	462
179	101	461
180	101	461
181	102	460
182	103	459
183	103	459
184	104	458
185	104	457
186	105	457
187	105	456
188	106	455
189	106	454
190	107	453
191	107	453
192	108	452
193	108	451
194	109	450
195	109	449
196	110	449
197	111	449
198	111	449
199	112	448
200	112	448
201	113	447
202	113	447
203	114	447
204	115	446
205	115	446
206	116	445
207	116	445
208	117	446
209	118	445
210	119	445
211	119	444
212	120	444
213	120	443
214	121	443
215	121	442
216	122	441
217	122	440
218	123	440
219	123	439
220	124	438
221	125	438
222	125	438
223	126	438
224	127	437
225	127	437
226	128	436
227	128	436
228	129	435
229	129	434
230	130	433
231	130	433
232	131	432
233	132	432
234	132	432
235	133	432
236	134	431
237	134	430
238	135	430
239	135	429
240	136	428
241	136	427
242	137	426
243	137	426
244	138	426
245	138	425
246	139	425
247	139	424
248	140	423
249	141	423
250	141	423
251	142	422
252	143	422
253	143	422
254	144	421
255	144	420
256	145	420
257	145	419
258	146	419
259	147	418
260	147	418
261	148	417
262	148	416
263	149	416
264	149	415
265	150	414
266	150	413
267	151	413
268	151	412
269	152	411
270	152	410
271	153	410
272	153	409
273	154	409
274	154	408
275	155	408
276	156	407
277	156	407
278	157	407
279	158	406
280	158	406
281	159	405
282	159	404
283	160	404
284	160	403
285	161	403
286	162	402
287	162	401
288	163	401
289	163	400
290	164	400
291	164	399
292	165	399
293	165	398
294	166	397
295	166	397
296	167	396
297	168	395
298	168	395
299	169	394
300	169	394
301	170	393
302	170	393
303	171	392
304	172	392
305	173	392
306	173	392
307	174	391
308	175	391
309	175	390
310	176	390
311	176	389
312	177	389
313	177	388
314	178	387
315	178	387
316	179	386
317	179	385
318	180	385
319	180	384
320	181	383
321	181	383
322	182	382
323	183	381
324	183	381
325	183	380
326	184	379
327	184	379
328	185	378
329	186	378
330	186	377
331	187	377
332	187	376
333	188	375
334	189	375
335	189	374
336	190	374
337	190	373
338	191	372
339	191	372
340	192	371
341	192	371
342	193	370
343	194	370
344	194	369
345	195	368
346	195	368
347	196	367
348	196	366
349	197	365
350	197	365
351	198	364
352	198	363
353	198	363
354	199	362
355	199	361
356	200	361
357	200	360
358	201	360
359	202	359
360	202	358
361	203	358
362	203	357
363	204	357
364	205	356
365	205	356
366	206	355
367	206	354
368	207	354
369	207	353
370	208	353
371	208	352
372	209	351
373	209	351
374	210	350
375	210	349
376	211	349
377	211	348
378	212	347
379	212	347
380	213	346
381	213	345
382	214	345
383	214	344
384	215	343
385	215	343
386	216	342
387	217	342
388	217	341
389	218	341
390	218	340
391	219	340
392	219	339
393	220	338
394	220	338
395	221	337
396	221	336
397	222	336
398	222	335
399	223	335
400	223	334
401	224	333
402	224	333
403	225	332
404	225	331
405	226	331
406	226	330
407	227	329
408	227	329
409	228	328
410	228	327
411	229	327
412	229	326
413	230	325
414	230	325
415	231	324
416	231	324
417	232	323
418	233	323
419	233	322
420	234	322
421	234	321
422	235	320
423	235	320
424	236	319
425	236	319
426	237	318
427	237	317
428	238	317
429	238	316
430	239	315
431	239	315
432	240	314
433	240	314
434	241	313
435	241	312
436	242	312
437	242	311
438	243	310
439	243	310
440	244	309
441	244	308
442	245	308
443	245	307
444	246	307
445	247	306
446	247	306
447	248	305
448	248	305
449	249	304
450	249	303
451	250	303
452	250	302
453	251	302
454	251	301
455	252	300
456	252	300
457	253	299
458	253	299
459	254	298
460	254	297
461	255	297
462	255	296
463	256	296
464	256	295
465	257	294
466	257	294
467	258	293
468	258	292
469	259	292
470	259	291
471	260	291
472	260	290
473	261	290
474	262	289
475	262	289
476	263	288
477	263	287
478	264	287
479	264	286
480	265	286
481	265	285
482	266	284
483	266	284
484	267	283
485	267	283
486	268	282
487	268	281
488	269	281
489	269	280
490	270	280
491	270	279
492	271	278
493	271	278
494	272	277
495	272	277
496	273	276
497	273	275
498	274	275
499	274	274
500	275	273
501	275	273
502	276	272
503	276	272
504	277	271
505	277	271
506	278	270
507	278	270
508	279	269
509	279	269
510	280	268
511	281	267
512	281	267
513	282	266
514	282	266
515	283	265
516	283	264
517	284	264
518	284	263
519	285	263
520	285	262
521	286	261
522	286	261
523	286	260
524	287	260
525	288	259
526	288	258
527	289	258
528	289	257
529	290	257
530	290	256
531	291	256
532	291	255
533	292	255
534	293	254
535	293	254
536	294	253
537	294	253
538	295	252
539	296	252
540	296	251
541	297	251
542	297	250
543	298	250
544	298	249
545	299	249
546	299	248
547	300	247
548	300	247
549	301	246
550	302	246
551	302	245
552	303	245
553	303	244
554	304	243
555	304	243
556	305	242
557	305	242
558	306	241
559	306	241
560	307	240
561	307	240
562	308	239
563	309	238
564	309	238
565	310	237
566	310	237
567	310	236
568	311	235
569	311	235
570	312	234
571	312	234
572	313	233
573	313	233
574	314	232
575	315	231
576	315	231
577	316	230
578	316	230
579	317	229
580	317	229
581	318	228
582	318	227
583	319	227
584	319	226
585	320	226
586	320	225
587	321	225
588	321	224
589	322	224
590	322	223
591	323	222
592	323	222
593	324	221
594	324	221
595	325	220
596	326	220
597	326	219
598	327	219
599	327	218
600	328	217
601	328	217
602	329	216
603	329	216
604	330	215
605	330	214
606	331	214
607	331	213
608	332	213
609	332	212
610	333	212
611	333	211
612	334	210
613	334	210
614	335	209
615	335	209
616	336	208
617	336	208
618	337	207
619	337	207
620	338	206
621	338	205
622	339	205
623	339	204
624	340	204
625	340	203
626	341	203
627	341	202
628	342	201
629	342	201
630	343	200
631	343	200
632	344	199
633	344	199
634	345	198
635	345	197
636	346	197
637	346	196
